epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,2561.86,0.84685,0.72336,1.13303,0.51886,0.43903,0.4412,0.29916,1.34894,2.11983,1.53775,0.000141193,0.000141193,0.000141193
107,2584.31,0.83713,0.71615,1.12936,0.49024,0.45976,0.4308,0.29031,1.35165,2.06936,1.55271,0.000139738,0.000139738,0.000139738
108,2606.37,0.83868,0.71055,1.13594,0.47864,0.4416,0.42573,0.28936,1.34878,2.09815,1.54032,0.000138283,0.000138283,0.000138283
109,2628.86,0.82716,0.69693,1.13547,0.4911,0.45261,0.43473,0.28878,1.35437,2.14968,1.55466,0.000136828,0.000136828,0.000136828
110,2651.27,0.84042,0.70016,1.13073,0.50658,0.41991,0.43398,0.29179,1.33805,2.07846,1.54569,0.000135372,0.000135372,0.000135372
111,2673.83,0.81386,0.69265,1.12498,0.4789,0.47196,0.4313,0.29157,1.32429,2.10706,1.5393,0.000133917,0.000133917,0.000133917
112,2696.29,0.83473,0.69415,1.12968,0.53655,0.42966,0.43873,0.29279,1.32929,2.0592,1.5349,0.000132462,0.000132462,0.000132462
113,2718.85,0.81532,0.67678,1.12234,0.50556,0.44342,0.42244,0.28601,1.331,2.2238,1.5305,0.000131006,0.000131006,0.000131006
114,2741.2,0.82003,0.67808,1.1237,0.53146,0.43513,0.42839,0.29185,1.33357,2.12532,1.54886,0.000129551,0.000129551,0.000129551
115,2763.27,0.81427,0.66731,1.12162,0.51642,0.45381,0.43983,0.29697,1.33295,2.12243,1.5404,0.000128096,0.000128096,0.000128096
116,2785.21,0.82059,0.67725,1.1183,0.54189,0.45091,0.44134,0.30081,1.32188,2.10975,1.53783,0.000126641,0.000126641,0.000126641
117,2807.61,0.79363,0.66313,1.11236,0.47526,0.454,0.42865,0.29058,1.33153,2.10473,1.54469,0.000125185,0.000125185,0.000125185
118,2830.17,0.81523,0.66087,1.11452,0.54305,0.43327,0.43971,0.29649,1.33736,2.07582,1.55054,0.00012373,0.00012373,0.00012373
119,2852.78,0.80568,0.65806,1.11397,0.5583,0.41578,0.43206,0.29687,1.33393,2.10025,1.55215,0.000122275,0.000122275,0.000122275
120,2875.3,0.81538,0.66671,1.12195,0.55744,0.43475,0.44925,0.30586,1.32632,2.0541,1.53771,0.000120819,0.000120819,0.000120819
121,2897.71,0.80258,0.66193,1.11336,0.51947,0.45365,0.43365,0.29505,1.33309,2.14568,1.53972,0.000119364,0.000119364,0.000119364
122,2920.09,0.79261,0.65537,1.1107,0.53136,0.44668,0.44092,0.29836,1.33853,2.04094,1.55648,0.000117909,0.000117909,0.000117909
123,2942.26,0.78348,0.64472,1.10145,0.54081,0.42924,0.44089,0.30203,1.32825,2.12228,1.53967,0.000116453,0.000116453,0.000116453
124,2964.37,0.77808,0.64865,1.10763,0.51091,0.44492,0.43155,0.29582,1.33392,2.11431,1.55364,0.000114998,0.000114998,0.000114998
125,2987.55,0.7943,0.65647,1.11151,0.49663,0.43064,0.42852,0.29062,1.33632,2.12146,1.55388,0.000113543,0.000113543,0.000113543
126,3009.7,0.79819,0.65129,1.10495,0.46489,0.46846,0.43128,0.2921,1.3482,2.10434,1.55822,0.000112087,0.000112087,0.000112087
127,3031.94,0.77873,0.62854,1.0986,0.51143,0.42329,0.42242,0.29075,1.34282,2.16556,1.55823,0.000110632,0.000110632,0.000110632
128,3053.9,0.77062,0.63178,1.09774,0.5128,0.41643,0.42655,0.29154,1.343,2.13793,1.55938,0.000109177,0.000109177,0.000109177
129,3076.5,0.77333,0.6254,1.10157,0.52967,0.4388,0.42769,0.29436,1.34579,2.18685,1.55718,0.000107722,0.000107722,0.000107722
130,3098.91,0.77631,0.62253,1.09652,0.55204,0.45017,0.43993,0.29776,1.33998,2.0961,1.54739,0.000106266,0.000106266,0.000106266
131,3121.72,0.78991,0.62629,1.09953,0.53428,0.44143,0.44337,0.30068,1.34358,2.10984,1.54284,0.000104811,0.000104811,0.000104811
